Genome	BioSample	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000299067	SAMEA10220519	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298627	SAMN14602682	NA	NA	NA	tongue scraping
MGYG000298993	SAMEA8395107	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298942	SAMEA9921392	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298530	SAMEA8395186	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298187	SAMEA10110173	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298945	SAMN14570672	human oral	human oral	saliva	saliva
MGYG000298290	SAMN14570986	human oral	human oral	saliva	saliva
MGYG000298156	SAMN14571085	human oral	human oral	saliva	saliva
MGYG000299138	SAMN14602678	NA	NA	NA	tongue scraping
MGYG000298319	SAMEA10110157	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298861	SAMN14570607	human oral	human oral	saliva	saliva
MGYG000299253	SAMN14570795	human oral	human oral	saliva	saliva
MGYG000298072	SAMEA10110195	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298365	SAMEA8395083	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299136	SAMN14571053	human oral	human oral	saliva	saliva
MGYG000298594	SAMEA8395093	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298545	SAMN14570623	human oral	human oral	saliva	saliva
MGYG000298937	SAMN14570642	human oral	human oral	saliva	saliva
MGYG000299015	SAMEA10220483	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298542	SAMEA8395302	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298629	SAMEA8395230	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298466	SAMEA8395178	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298905	SAMEA8395092	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298359	SAMEA10110185	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298388	SAMN14570638	human oral	human oral	saliva	saliva
MGYG000298979	SAMEA10110223	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298482	SAMEA9943423	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298453	SAMEA8395098	human-associated habitat	human oral cavity	not provided	not provided
