Genome	Specimen	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000299173	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298733	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298094	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298352	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298383	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298424	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298045	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298093	Oral_plaque	NA	NA	NA	dental plaque
MGYG000299174	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298851	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299081	Oral_plaque	NA	NA	NA	dental plaque
MGYG000299050	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298329	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298799	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299022	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299211	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298823	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298030	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298619	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299101	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298824	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299216	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298113	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298665	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299025	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298858	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298463	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298811	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299223	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298315	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299134	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000298596	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299010	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298547	Oral_cavity	Human oral metagenome	Human oral cavity	Subgingival plaque	human oral metagenome
MGYG000299199	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298369	Oral_saliva	human oral	human oral	saliva	saliva
